id,seatbelt,dwi,text
61,2,2,2
205,2,2,1
223,2,2,2
647,1,2,1
728,1,2,2
846,2,2,2
849,2,2,2
956,2,2,2
972,1,2,1
1046,2,2,2
1300,2,2,2
1302,2,2,2
1319,2,2,2
1400,2,2,1
1585,2,2,1
1653,1,2,2
1681,2,2,1
1684,1,2,1
1738,2,2,1
1762,1,2,1
1857,1,2,1
1885,1,2,1
1890,1,2,1
1898,1,2,1
1986,1,2,2
1991,1,2,1
2088,1,1,1
2143,1,2,1
2227,1,2,1
2290,2,2,1
2470,1,2,1
2483,2,1,1
2510,2,2,1
2556,2,2,1
2559,1,2,1
2664,1,1,2
2665,2,2,2
2780,2,2,1
2878,1,2,1
2883,1,2,1
3195,2,2,1
3203,2,2,2
3209,2,2,1
3210,2,2,1
3295,2,2,1
3362,1,2,1
3364,2,2,1
3683,2,2,1
3693,2,2,1
3863,1,2,1
3930,2,2,2
3931,2,2,2
3932,1,2,1
3934,2,2,1
3958,2,2,1
3961,2,2,1
3965,2,2,2
4025,1,2,2
4032,1,2,1
4035,2,1,1
4038,1,2,2
4224,2,2,2
4228,2,2,1
4460,2,2,2
4571,2,2,1
4878,1,2,1
4901,2,2,1
4906,2,2,1
5030,2,2,2
5035,2,2,2
5041,2,2,2
5079,2,2,2
5143,2,2,2
5165,2,2,1
5217,1,2,2
5226,2,2,1
5520,2,2,2
5526,1,2,1
5541,2,2,2
5598,2,2,1
5674,2,2,2
5930,2,2,1
5950,2,2,1
6114,1,2,2
6136,2,2,1
6139,2,2,2
6407,2,2,1
6716,2,2,2
6741,2,2,2
6831,2,2,1
6833,1,2,2
6835,1,2,1
6836,2,1,1
6861,2,2,2
6896,1,1,1
6906,1,2,1
6920,1,2,1
6961,2,2,2
7231,1,2,1
7254,1,2,2
7261,1,2,1
7265,1,2,1
7349,2,2,1
7460,2,2,1
7732,1,2,1
7733,1,2,1
7769,2,2,2
8050,1,2,1
8161,1,2,1
8199,2,2,1
8261,2,2,2
8354,2,2,2
8397,2,2,1
8593,2,2,2
8707,2,2,1
8824,1,2,1
8825,2,2,1
8840,1,2,2
8954,1,2,1
9169,2,2,1
9177,2,2,2
9250,1,2,1
13909,2,2,2
13981,1,2,2
14240,2,2,2
14330,2,2,1
14394,2,2,1
14415,2,2,2
14421,2,2,1
14446,2,2,2
14477,2,2,2
14650,2,2,1
14730,1,2,1
14765,2,2,1
14862,1,2,1
15001,2,2,1
15117,1,2,2
15240,2,2,2
15279,2,2,1
15301,1,2,1
15351,1,2,1
15361,2,2,1
15362,2,2,2
15367,2,2,1
15378,2,2,1
15395,2,2,1
15414,1,2,1
15508,1,2,1
15512,2,2,2
15554,2,2,2
15599,2,2,1
15606,2,2,2
15654,2,2,1
15703,2,2,2
15721,1,2,1
15741,2,2,1
15753,2,2,1
15767,2,2,1
15779,2,2,1
15897,2,2,1
16007,2,2,1
16091,2,2,1
16124,2,2,1
16182,2,2,1
16199,2,2,1
16201,2,2,1
16273,2,2,1
16291,2,2,1
16387,2,2,2
16422,2,2,1
16478,2,2,1
16502,1,2,2
16567,2,2,1
16662,2,2,1
16771,2,2,1
16793,2,2,1
16863,1,2,1
16864,2,2,1
16867,2,2,1
16906,2,2,2
16921,2,2,1
17050,2,2,1
17089,2,2,1
17154,1,2,1
17232,2,2,2
